=== tasklist ===
"Nome da imagem","Identifica‡Æo pessoal","Nome da sessÆo","SessÆo#","Uso de mem¢ria"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","3.876 K"
"Secure System","236","Services","0","110.316 K"
"Registry","280","Services","0","65.204 K"
"smss.exe","868","Services","0","1.536 K"
"csrss.exe","1316","Services","0","6.316 K"
"wininit.exe","1464","Services","0","8.876 K"
"csrss.exe","1472","Console","1","8.740 K"
"winlogon.exe","1568","Console","1","15.208 K"
"services.exe","1596","Services","0","19.212 K"
"LsaIso.exe","1636","Services","0","4.152 K"
"lsass.exe","1644","Services","0","34.840 K"
"svchost.exe","1780","Services","0","47.336 K"
"WUDFHost.exe","1812","Services","0","9.724 K"
"fontdrvhost.exe","1820","Console","1","7.808 K"
"fontdrvhost.exe","1824","Services","0","4.772 K"
"svchost.exe","1940","Services","0","24.132 K"
"svchost.exe","1988","Services","0","11.188 K"
"WUDFHost.exe","1064","Services","0","9.724 K"
"WUDFHost.exe","1460","Services","0","9.704 K"
"dwm.exe","1124","Console","1","79.148 K"
"svchost.exe","2128","Services","0","6.756 K"
"svchost.exe","2136","Services","0","10.664 K"
"svchost.exe","2344","Services","0","13.552 K"
"svchost.exe","2352","Services","0","15.328 K"
"svchost.exe","2368","Services","0","10.968 K"
"svchost.exe","2380","Services","0","17.804 K"
"svchost.exe","2376","Services","0","20.452 K"
"svchost.exe","2568","Services","0","17.416 K"
"svchost.exe","2592","Services","0","10.748 K"
"svchost.exe","2664","Services","0","13.104 K"
"svchost.exe","2672","Services","0","7.684 K"
"svchost.exe","2728","Services","0","12.288 K"
"svchost.exe","2748","Services","0","13.264 K"
"svchost.exe","2940","Services","0","22.980 K"
"svchost.exe","2996","Services","0","22.124 K"
"svchost.exe","3296","Services","0","14.132 K"
"amdfendrsr.exe","3364","Services","0","9.076 K"
"svchost.exe","3372","Services","0","19.112 K"
"atiesrxx.exe","3380","Services","0","8.504 K"
"svchost.exe","3440","Services","0","10.292 K"
"svchost.exe","3568","Services","0","10.808 K"
"svchost.exe","3652","Services","0","15.836 K"
"WUDFHost.exe","3664","Services","0","11.960 K"
"svchost.exe","3744","Services","0","11.272 K"
"svchost.exe","3820","Services","0","8.780 K"
"svchost.exe","3876","Services","0","25.332 K"
"svchost.exe","3912","Services","0","8.612 K"
"svchost.exe","4052","Services","0","9.248 K"
"svchost.exe","4160","Services","0","23.488 K"
"svchost.exe","4228","Services","0","11.340 K"
"svchost.exe","4276","Services","0","11.512 K"
"svchost.exe","4352","Services","0","7.276 K"
"svchost.exe","4360","Services","0","18.660 K"
"svchost.exe","4368","Services","0","10.416 K"
"atieclxx.exe","4376","Console","1","19.728 K"
"Memory Compression","4464","Services","0","2.728.528 K"
"svchost.exe","4504","Services","0","11.028 K"
"svchost.exe","4540","Services","0","10.864 K"
"svchost.exe","4628","Services","0","19.104 K"
"svchost.exe","4660","Services","0","10.744 K"
"svchost.exe","4804","Services","0","13.268 K"
"svchost.exe","4812","Services","0","12.576 K"
"svchost.exe","4992","Services","0","23.844 K"
"svchost.exe","5020","Services","0","18.772 K"
"svchost.exe","5028","Services","0","10.984 K"
"spoolsv.exe","3176","Services","0","26.976 K"
"svchost.exe","2400","Services","0","9.888 K"
"svchost.exe","2448","Services","0","30.612 K"
"svchost.exe","5256","Services","0","11.596 K"
"remoting_host.exe","5264","Services","0","16.368 K"
"svchost.exe","5276","Services","0","53.148 K"
"svchost.exe","5284","Services","0","67.396 K"
"SenaryAudioApp.Svc.exe","5292","Services","0","51.496 K"
"svchost.exe","5304","Services","0","12.240 K"
"RtkBtManServ.exe","5312","Services","0","9.012 K"
"svchost.exe","5320","Services","0","26.640 K"
"svchost.exe","5328","Services","0","6.912 K"
"svchost.exe","5336","Services","0","14.288 K"
"svchost.exe","5348","Services","0","30.212 K"
"svchost.exe","5356","Services","0","11.008 K"
"wslservice.exe","5364","Services","0","31.068 K"
"MpDefenderCoreService.exe","5388","Services","0","33.400 K"
"MsMpEng.exe","5432","Services","0","330.112 K"
"svchost.exe","6204","Services","0","14.296 K"
"NgcIso.exe","6336","Services","0","4.600 K"
"svchost.exe","6352","Services","0","11.648 K"
"remoting_host.exe","7080","Services","0","33.960 K"
"svchost.exe","7532","Services","0","28.192 K"
"svchost.exe","7752","Services","0","9.768 K"
"AggregatorHost.exe","6152","Services","0","15.508 K"
"svchost.exe","7308","Services","0","8.416 K"
"svchost.exe","7356","Services","0","36.244 K"
"vmcompute.exe","7460","Services","0","15.608 K"
"svchost.exe","1752","Services","0","6.940 K"
"NisSrv.exe","6444","Services","0","14.920 K"
"svchost.exe","2408","Services","0","28.292 K"
"svchost.exe","3948","Services","0","29.032 K"
"svchost.exe","5480","Services","0","10.564 K"
"svchost.exe","4680","Services","0","15.972 K"
"svchost.exe","6136","Services","0","17.044 K"
"svchost.exe","2976","Services","0","11.028 K"
"svchost.exe","3684","Services","0","39.248 K"
"svchost.exe","4388","Services","0","45.068 K"
"svchost.exe","5824","Services","0","13.368 K"
"sihost.exe","5236","Console","1","53.400 K"
"svchost.exe","7372","Console","1","10.656 K"
"svchost.exe","6904","Console","1","32.296 K"
"svchost.exe","4520","Console","1","10.660 K"
"svchost.exe","3404","Console","1","44.828 K"
"svchost.exe","7924","Services","0","31.224 K"
"taskhostw.exe","3280","Console","1","23.824 K"
"svchost.exe","5860","Services","0","16.388 K"
"explorer.exe","2412","Console","1","283.040 K"
"CrossDeviceResume.exe","5596","Console","1","48.816 K"
"svchost.exe","8500","Console","1","41.788 K"
"SearchHost.exe","9036","Console","1","117.060 K"
"StartMenuExperienceHost.exe","9048","Console","1","150.216 K"
"Widgets.exe","8460","Console","1","50.972 K"
"RuntimeBroker.exe","8368","Console","1","68.448 K"
"svchost.exe","8364","Console","1","25.908 K"
"WidgetService.exe","9068","Console","1","21.148 K"
"msedgewebview2.exe","9928","Console","1","114.868 K"
"msedgewebview2.exe","10060","Console","1","15.196 K"
"msedgewebview2.exe","10452","Console","1","43.816 K"
"msedgewebview2.exe","10480","Console","1","50.936 K"
"msedgewebview2.exe","10680","Console","1","21.896 K"
"msedgewebview2.exe","10964","Console","1","79.124 K"
"svchost.exe","4768","Services","0","21.940 K"
"PhoneExperienceHost.exe","11536","Console","1","182.796 K"
"ctfmon.exe","11604","Console","1","34.828 K"
"CrossDeviceService.exe","11988","Console","1","168.548 K"
"SecurityHealthSystray.exe","12180","Console","1","13.356 K"
"SecurityHealthService.exe","12200","Services","0","23.504 K"
"svchost.exe","5572","Services","0","17.144 K"
"RuntimeBroker.exe","11476","Console","1","13.840 K"
"TextInputHost.exe","11480","Console","1","124.536 K"
"MicrosoftSecurityApp.exe","13116","Console","1","136.672 K"
"RuntimeBroker.exe","12788","Console","1","13.892 K"
"RadeonSoftware.exe","12104","Console","1","75.340 K"
"CPUMetricsServer.exe","13332","Console","1","5.212 K"
"com.docker.backend.exe","13428","Console","1","24.156 K"
"conhost.exe","13436","Console","1","2.572 K"
"com.docker.backend.exe","13704","Console","1","259.768 K"
"com.docker.build.exe","14312","Console","1","28.676 K"
"cncmd.exe","13328","Console","1","1.808 K"
"cmd.exe","14016","Console","1","3.924 K"
"conhost.exe","13772","Console","1","2.316 K"
"Docker Desktop.exe","4020","Console","1","41.288 K"
"AMDRSServ.exe","13464","Console","1","85.576 K"
"vmwp.exe","13552","Services","0","23.728 K"
"vmmemWSL","2812","Services","0","2.027.044 K"
"dllhost.exe","8776","Console","1","10.168 K"
"Docker Desktop.exe","14820","Console","1","15.776 K"
"Docker Desktop.exe","14888","Console","1","16.052 K"
"dllhost.exe","14912","Console","1","11.160 K"
"wslrelay.exe","15164","Console","1","11.296 K"
"wslhost.exe","15316","Console","1","11.976 K"
"wslhost.exe","14184","Console","1","11.644 K"
"conhost.exe","14452","Console","1","9.560 K"
"conhost.exe","6880","Console","1","9.572 K"
"msrdc.exe","15220","Console","1","53.760 K"
"wsl.exe","2696","Console","1","1.288 K"
"wsl.exe","11432","Console","1","2.892 K"
"wslhost.exe","15400","Console","1","2.800 K"
"conhost.exe","15420","Console","1","2.508 K"
"wsl.exe","15636","Console","1","1.284 K"
"wsl.exe","15656","Console","1","2.816 K"
"wslhost.exe","15700","Console","1","2.668 K"
"conhost.exe","15736","Console","1","2.524 K"
"cowork-svc.exe","15984","Services","0","27.648 K"
"Docker Desktop.exe","1768","Console","1","91.580 K"
"WhatsApp.Root.exe","16796","Console","1","215.356 K"
"RuntimeBroker.exe","16132","Console","1","13.500 K"
"msedgewebview2.exe","16692","Console","1","90.236 K"
"msedgewebview2.exe","17176","Console","1","15.412 K"
"msedgewebview2.exe","11004","Console","1","17.360 K"
"msedgewebview2.exe","16812","Console","1","34.184 K"
"msedgewebview2.exe","16404","Console","1","12.396 K"
"svchost.exe","5396","Services","0","20.364 K"
"msedgewebview2.exe","8544","Console","1","149.200 K"
"WinUsbDisplay.exe","5580","Console","1","22.964 K"
"powershell.exe","17984","Console","1","79.108 K"
"conhost.exe","17992","Console","1","9.676 K"
"cmd.exe","18188","Console","1","5.624 K"
"conhost.exe","18196","Console","1","9.764 K"
"node.exe","18244","Console","1","70.788 K"
"powershell.exe","17084","Console","1","79.208 K"
"conhost.exe","17732","Console","1","9.660 K"
"python.exe","12980","Console","1","3.644 K"
"python.exe","17668","Console","1","31.356 K"
"cmd.exe","17680","Console","1","5.676 K"
"cmd.exe","17684","Console","1","6.276 K"
"conhost.exe","17644","Console","1","9.664 K"
"cmd.exe","18352","Console","1","6.288 K"
"conhost.exe","17484","Console","1","9.672 K"
"conhost.exe","17704","Console","1","9.668 K"
"uvicorn.exe","17828","Console","1","4.132 K"
"python.exe","17452","Console","1","16.960 K"
"python.exe","5516","Console","1","3.636 K"
"python.exe","2332","Console","1","12.932 K"
"node.exe","13516","Console","1","40.632 K"
"node.exe","13676","Console","1","40.588 K"
"cmd.exe","17648","Console","1","6.312 K"
"cmd.exe","17656","Console","1","6.312 K"
"node.exe","2820","Console","1","68.420 K"
"node.exe","2492","Console","1","68.344 K"
"cmd.exe","18724","Console","1","6.256 K"
"conhost.exe","18732","Console","1","9.656 K"
"node.exe","18884","Console","1","42.872 K"
"cmd.exe","18952","Console","1","6.316 K"
"node.exe","18976","Console","1","91.848 K"
"RuntimeBroker.exe","19376","Console","1","22.016 K"
"svchost.exe","8388","Services","0","12.612 K"
"svchost.exe","19776","Services","0","9.212 K"
"svchost.exe","2056","Services","0","10.280 K"
"svchost.exe","12020","Services","0","16.764 K"
"OfficeClickToRun.exe","17192","Services","0","70.928 K"
"AppVShNotify.exe","18416","Console","1","10.836 K"
"AMDRSSrcExt.exe","14436","Console","1","49.052 K"
"SearchIndexer.exe","3324","Services","0","32.820 K"
"svchost.exe","9812","Services","0","10.300 K"
"svchost.exe","6116","Services","0","12.452 K"
